Ticker,first_close,last_close,yearly_returns,Stock_Status
INDUSINDBK,1435.4,998.2,-30.458408805907762,Red
ASIANPAINT,3166.85,2472.2,-21.93504586576567,Red
BAJFINANCE,7967.6,6683.95,-16.110874039861443,Red
ADANIENT,2387.25,2228.0,-6.670855586972458,Red
HINDUNILVR,2468.9,2445.25,-0.9579164810239414,Red
NESTLEIND,2231.52,2247.3,0.707141320714141,Green
KOTAKBANK,1727.05,1761.45,1.9918357893517904,Green
BAJAJFINSV,1561.05,1600.85,2.5495659972454408,Green
TITAN,3196.25,3308.7,3.5181853734845467,Green
MARUTI,10346.9,11063.6,6.9267123486261655,Green
