sector,Daily_Return
ALUMINIUM,0.00127790028975265
AUTOMOBILES,0.0016048270842167257
BANKING,0.00042315286631330976
CEMENT,0.001213907113074205
DEFENCE,0.0027629296855123673
ENERGY,0.0012433196607773852
ENGINEERING,0.0007083183533568905
FINANCE,0.00044037189634864543
FMCG,3.8481017667844557e-05
FOOD,0.00035216868551236755
FOOD & TOBACCO,0.00022183779505300356
FOOD AND BEVERAGES,0.00043823910247349816
INSURANCE,0.0005017626837455832
MINING,0.000824870886925795
MISCELLANEOUS,0.0013138041819787986
PAINTS,-0.0007938570424028269
PHARMACEUTICALS,0.0010206847444051825
POWER,0.0018454131749116609
RETAILING,0.0023151500918727917
SOFTWARE,0.001248553445229682
STEEL,0.0007640161113074206
TELECOM,0.001960734409893993
TEXTILES,0.0011856003462897527
